date,max,min,mean
2023-04-21,13.300245,2.6302452,8.137745
2023-04-22,18.550245,6.5102453,12.49233
2023-04-23,19.450245,9.750245,13.553577
2023-04-24,13.020246,8.920245,11.016495
2023-04-25,11.320246,6.290245,8.791078
2023-04-26,15.040245,3.8002453,9.416912
2023-04-27,19.050245,8.3102455,13.332329
2023-04-28,18.740246,11.880245,15.136912
2023-04-29,19.670246,12.3102455,15.642746
2023-04-30,18.190245,9.3102455,13.955245
2023-05-01,16.100246,10.660245,13.569411
2023-05-02,17.060246,8.930245,12.996494
2023-05-03,20.630245,6.110245,13.320244
2023-05-04,24.540245,7.4702454,15.9648285
2023-05-05,22.460245,14.160245,17.266079
2023-05-06,22.590246,12.440246,17.025661
2023-05-07,20.320246,11.530245,15.728996
2023-05-08,19.160246,14.160245,16.298996
2023-05-09,20.270245,12.130245,15.648576
2023-05-10,15.470245,11.590245,13.7652445
2023-05-11,14.610246,10.770246,12.548996
2023-05-12,16.810246,10.510245,13.408577
2023-05-13,15.730246,11.050245,13.394832
2023-05-14,17.210245,10.050245,13.193164
2023-05-15,17.070246,9.660245,13.093579
2023-05-16,12.430245,10.530245,11.640662
2023-05-17,14.760245,7.520245,11.336079
2023-05-18,16.580246,5.8202453,11.900246
2023-05-19,16.360247,9.320246,13.514412
2023-05-20,18.780245,11.830245,15.190662
2023-05-21,24.410246,12.220245,17.861914
2023-05-22,26.090246,13.980246,19.899828
2023-05-23,21.390245,15.990245,18.457745
2023-05-24,16.740246,12.110246,14.178578
2023-05-25,20.640245,9.820246,15.174829
2023-05-26,24.250246,10.700245,17.779413
2023-05-27,25.860245,11.180245,18.710663
2023-05-28,26.140245,10.390245,18.877329
2023-05-29,26.910246,10.110246,19.211494
2023-05-30,25.610245,11.890245,19.162327
2023-05-31,26.990246,12.250245,19.86066
2023-06-01,27.310246,11.660245,20.171495
2023-06-02,26.290245,14.450245,20.157743
2023-06-03,26.780245,12.240245,20.11691
2023-06-04,26.700245,12.840245,19.587332
2023-06-05,27.210245,11.820246,20.296078
2023-06-06,27.190245,12.360246,20.903578
2023-06-07,27.410246,12.700245,20.543577
2023-06-08,28.320246,12.690246,20.94316
2023-06-09,29.600245,13.270246,21.903162
2023-06-10,29.560246,15.570246,23.445663
